Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
North,Tuesday Week 4,Derry Hill,Lansdowne Hall,"Lansdowne Hall, Derry Hill",2020-12-01,Tuesday,4,14:30,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
Residential homes,Thursday Week 4,Devizes,Briggs Lodge,"Briggs Lodge, Devizes",2020-12-03,Thursday,4,11:15,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/112
Residential homes,Thursday Week 4,Devizes,Crammer Court,"Crammer Court, Devizes",2020-12-03,Thursday,4,12:30,12:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/112
Residential homes,Monday Week 1,Devizes,Haywood Care,"Haywood Care, Devizes",2020-12-07,Monday,4,11:45,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/88
Residential homes,Monday Week 1,Devizes,Needham House,"Needham House, Devizes",2020-12-07,Monday,4,13:25,13:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/88
Residential homes,Monday Week 1,Devizes,Sudweeks Court,"Sudweeks Court, Devizes",2020-12-07,Monday,4,13:00,13:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/88
Residential homes,Thursday Week 4,Devizes,The Croft,"The Croft, Devizes",2020-12-03,Thursday,4,11:50,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/112
North,Wednesday Week 4,Dilton Marsh,Lyes Grove,"Lyes Grove, Dilton Marsh",2020-12-02,Wednesday,4,15:00,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
South,Tuesday Week 4,Dinton,Shop,"Shop, Dinton",2020-12-01,Tuesday,4,15:40,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
South,Friday Week 1,East Gomeldon,Bus Turning Area,"Bus Turning Area, East Gomeldon",2020-12-11,Friday,4,14:45,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,East Gomeldon,Bus Turning Area,"Bus Turning Area, East Gomeldon",2020-11-27,Friday,4,14:45,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Wednesday Week 2,East Grafton,Coronation Hall,"Coronation Hall, East Grafton",2020-11-18,Wednesday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Tuesday Week 3,East Grimstead,The Pond,"The Pond, East Grimstead",2020-11-24,Tuesday,4,11:55,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Saturday Week 1,East Harnham,Burford Road,"Burford Road, East Harnham",2020-12-12,Saturday,4,13:30,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Tuesday Week 2,East Knoyle,Seymour Arms Pub,"Seymour Arms Pub, East Knoyle",2020-11-17,Tuesday,4,11:05,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
South,Tuesday Week 4,East Knoyle,Seymour Arms Pub,"Seymour Arms Pub, East Knoyle",2020-12-01,Tuesday,4,11:05,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Wednesday Week 2,Edington,Post box,"Post box, Edington",2020-11-18,Wednesday,4,15:00,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
South,Friday Week 2,Enford,Water Lane,"Water Lane, Enford",2020-11-20,Friday,4,15:25,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Wednesday Week 2,Everleigh,High Trees,"High Trees, Everleigh",2020-11-18,Wednesday,4,12:25,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Tuesday Week 3,Farley,Church,"Church, Farley",2020-11-24,Tuesday,4,11:10,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Friday Week 2,Figheldean,Oak Lane,"Oak Lane, Figheldean",2020-11-20,Friday,4,14:40,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Tuesday Week 1,Firsdown,Top Post Box,"Top Post Box, Firsdown",2020-12-08,Tuesday,4,11:40,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 1,Ford,Green Lane,"Green Lane, Ford",2020-12-08,Tuesday,4,11:00,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 2,Fovant,Clays Orchard,"Clays Orchard, Fovant",2020-11-17,Tuesday,4,13:50,14:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
South,Saturday Week 1,Fugglestone Red,Ramleaze Drive,"Ramleaze Drive, Fugglestone Red",2020-12-12,Saturday,4,15:10,15:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
North,Friday Week 2,Great Bedwyn,Church Street,"Church Street, Great Bedwyn",2020-11-20,Friday,4,13:20,13:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Friday Week 2,Great Bedwyn,Village Hall,"Village Hall, Great Bedwyn",2020-11-20,Friday,4,11:10,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Friday Week 4,Great Bedwyn,Village Hall,"Village Hall, Great Bedwyn",2020-12-04,Friday,4,11:10,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 2,Great Bedwyn,Wansdyke Road,"Wansdyke Road, Great Bedwyn",2020-11-20,Friday,4,10:35,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
South,Wednesday Week 4,Great Cheverell,The Old School,"The Old School, Great Cheverell",2020-12-02,Wednesday,4,13:15,13:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Thursday Week 1,Great Somerford,School,"School, Great Somerford",2020-12-10,Thursday,4,13:15,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Wednesday Week 4,Great Wishford,Farmyard opposite the Church,"Farmyard opposite the Church, Great Wishford",2020-12-02,Wednesday,4,09:50,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
South,Friday Week 4,Hanging Langford,Post Box,"Post Box, Hanging Langford",2020-12-04,Friday,4,15:15,15:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Monday Week 3,Heddington,Amenities car park,"Amenities car park, Heddington",2020-11-23,Monday,4,14:55,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Friday Week 4,Heytesbury,St John’s,"St John’s, Heytesbury",2020-12-04,Friday,4,10:15,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Monday Week 3,Hilmarton,School Community Hall car park,"School Community Hall car park, Hilmarton",2020-11-23,Monday,4,10:15,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Thursday Week 2,Hindon,Bank House High Street,"Bank House High Street, Hindon",2020-11-19,Thursday,4,14:05,15:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Hindon,Bank House High Street,"Bank House High Street, Hindon",2020-12-03,Thursday,4,14:05,15:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
South,Thursday Week 2,Hindon,School,"School, Hindon",2020-11-19,Thursday,4,13:30,13:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
North,Saturday Week 4,Holt,Little Parks,"Little Parks, Holt",2020-12-05,Saturday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Wednesday Week 2,Holt,The Elms,"The Elms, Holt",2020-11-18,Wednesday,4,09:30,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,Holt,The Elms,"The Elms, Holt",2020-12-02,Wednesday,4,09:30,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
South,Thursday Week 3,Homington,The Manor,"The Manor, Homington",2020-11-26,Thursday,4,10:40,10:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
North,Tuesday Week 1,Hook,Drury Close,"Drury Close, Hook",2020-12-08,Tuesday,4,10:40,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Tuesday Week 1,Hook,Lydiard Residential Park,"Lydiard Residential Park, Hook",2020-12-08,Tuesday,4,11:10,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
South,Tuesday Week 2,Horningsham,Village hall,"Village hall, Horningsham",2020-11-17,Tuesday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
South,Tuesday Week 4,Horningsham,Village hall,"Village hall, Horningsham",2020-12-01,Tuesday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Thursday Week 1,Hullavington,By School,"By School, Hullavington",2020-12-10,Thursday,4,10:15,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
North,Thursday Week 1,Hullavington,Near garage/bus stop,"Near garage/bus stop, Hullavington",2020-12-10,Thursday,4,11:05,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
North,Monday Week 1,Keevil,Stocks Green,"Stocks Green, Keevil",2020-12-07,Monday,4,10:35,10:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Thursday Week 2,Kilmington,Home Guard Car Park,"Home Guard Car Park, Kilmington",2020-11-19,Thursday,4,11:25,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
North,Saturday Week 2,Kington Langley,Village Hall,"Village Hall, Kington Langley",2020-11-21,Saturday,4,09:20,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
